nom;nom_annuaire;ville;ville_propre;Code;jour;categorie;ouverture_am;fermeture_am;ouverture_pm;fermeture_pm;bibli_amp_def_latlong_nom;bibli_amp_def_latlong_y;bibli_amp_def_latlong_x;bibli_amp_def_latlong_bibli_amp_def_nom_annuaire
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;lundi;tous publics;NA;NA;NA;NA;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;mardi;tous publics;09:00:00;13:00:00;14:00:00;18:00:00;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;mercredi;tous publics;NA;NA;14:00:00;18:00:00;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;jeudi;tous publics;09:00:00;13:00:00;14:00:00;18:00:00;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;vendredi;tous publics;NA;NA;14:00:00;18:00:00;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;samedi;tous publics;09:00:00;13:00:00;14:00:00;18:00:00;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
Halle aux grains;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS;Aix-en-Provence;AIX EN PROVENCE;5419.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque Halle aux Grains;43.529623;5.447848;BIBLIOTHÈQUE DE LA HALLE AUX GRAINS
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;lundi;tous publics;NA;NA;NA;NA;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;mardi;tous publics;NA;NA;14:00:00;18:00:00;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;mercredi;tous publics;10:00:00;13:00:00;14:00:00;18:00:00;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;jeudi;tous publics;NA;NA;NA;NA;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;vendredi;tous publics;NA;NA;14:00:00;18:00:00;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;samedi;tous publics;10:00:00;13:00:00;14:00:00;18:00:00;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
2 ormes;BIBLIOTHÈQUE DES DEUX ORMES;Aix-en-Provence;AIX EN PROVENCE;5418.0;dimanche;tous publics;NA;NA;NA;NA;Deux Ormes;43.532041;5.411537;BIBLIOTHÈQUE DES DEUX ORMES
Li Campaneto;BIBLIOTHÈQUE LI CAMPANETO;Aix-en-Provence;AIX EN PROVENCE;14278.0;lundi;tous publics;NA;NA;NA;NA;Bibliothèque Li Campaneto;43.502681;5.388369;BIBLIOTHÈQUE LI CAMPANETO
